ID,Order Date,Class,Region,Sub-Category,Sales
7946,25/12/2018,Стандарт,Урал,Binders,19329.83
7947,25/12/2018,Стандарт,Урал,Binders,4152.853
8957,25/12/2018,Первый класс,Москва,Furnishings,20876.48
8958,25/12/2018,Первый класс,Москва,Machines,8914.873
9377,25/12/2018,Стандарт,Владивосток,Accessories,19291.61
405,24/12/2018,Стандарт,Владивосток,Appliances,4951.841
1507,24/12/2018,Стандарт,Владивосток,Binders,38665.2
2482,24/12/2018,Стандарт,Калиниград,Storage,4725.787
3315,24/12/2018,Стандарт,Владивосток,Chairs,25565.33
3316,24/12/2018,Стандарт,Владивосток,Binders,31775.02
3701,24/12/2018,Стандарт,Владивосток,Furnishings,38527.34
4030,24/12/2018,Стандарт,Москва,Machines,35720.07
4031,24/12/2018,Стандарт,Москва,Chairs,12551.66
4620,24/12/2018,Первый класс,Калиниград,Copiers,25731.7
4621,24/12/2018,Первый класс,Калиниград,Binders,35950.49
5148,24/12/2018,Стандарт,Калиниград,Furnishings,19512.21
5149,24/12/2018,Стандарт,Калиниград,Chairs,29647.97
7608,24/12/2018,Первый класс,Урал,Storage,44722.59
8856,24/12/2018,Стандарт,Калиниград,Binders,-37337.497
8947,24/12/2018,Стандарт,Владивосток,Paper,8680.539
8948,24/12/2018,Стандарт,Владивосток,Binders,11603.29
883,23/12/2018,Same Day,Калиниград,Art,1813.51
2295,23/12/2018,Стандарт,Владивосток,Furnishings,26416.5
3545,23/12/2018,Второй класс,Урал,Paper,32646.17
3546,23/12/2018,Второй класс,Урал,Appliances,5808.618
6223,23/12/2018,Стандарт,Москва,Furnishings,20825.15
6224,23/12/2018,Стандарт,Москва,Art,57795.6
6225,23/12/2018,Стандарт,Москва,Storage,5887.66
6853,23/12/2018,Второй класс,Москва,Storage,43833.06
6854,23/12/2018,Второй класс,Москва,Phones,40986.62
6855,23/12/2018,Второй класс,Москва,Storage,33328.12
6856,23/12/2018,Второй класс,Москва,Paper,12999.44
6857,23/12/2018,Второй класс,Москва,Envelopes,25229.16
6997,23/12/2018,Второй класс,Урал,Binders,15211.28
6998,23/12/2018,Второй класс,Урал,Paper,4913.278
8392,23/12/2018,Стандарт,Владивосток,Furnishings,25674.63
145,22/12/2018,Стандарт,Урал,Appliances,41783.61
1893,22/12/2018,Второй класс,Москва,Envelopes,32540.19
2056,22/12/2018,Первый класс,Урал,Accessories,27078.9
2057,22/12/2018,Первый класс,Урал,Chairs,30582.98
2058,22/12/2018,Первый класс,Урал,Accessories,28346.73
2059,22/12/2018,Первый класс,Урал,Tables,38838.82
2619,22/12/2018,Стандарт,Калиниград,Art,31556.14
2620,22/12/2018,Стандарт,Калиниград,Phones,36762.81
2621,22/12/2018,Стандарт,Калиниград,Storage,-24292.190000000002
2622,22/12/2018,Стандарт,Калиниград,Labels,33803.06
2728,22/12/2018,Первый класс,Владивосток,Binders,-9134.66
2729,22/12/2018,Первый класс,Владивосток,Phones,20226.78
3102,22/12/2018,Второй класс,Владивосток,Supplies,37755.75
3103,22/12/2018,Второй класс,Владивосток,Bookcases,4003.852
6193,22/12/2018,Стандарт,Урал,Paper,17773.55
6194,22/12/2018,Стандарт,Урал,Binders,12664.81
6195,22/12/2018,Стандарт,Урал,Paper,22264.12
7151,22/12/2018,Стандарт,Москва,Chairs,21509.43
7152,22/12/2018,Второй класс,Калиниград,Tables,43496.52
8178,22/12/2018,Первый класс,Калиниград,Accessories,32604.17
8578,22/12/2018,Стандарт,Урал,Tables,35202.11
8579,22/12/2018,Стандарт,Урал,Storage,53685.06
8950,22/12/2018,Стандарт,Москва,Tables,37078.69
8951,22/12/2018,Стандарт,Москва,Accessories,7371.862
8952,22/12/2018,Стандарт,Москва,Storage,15916.93
8953,22/12/2018,Стандарт,Москва,Art,12811.09
8954,22/12/2018,Стандарт,Москва,Appliances,31964.39
514,21/12/2018,Стандарт,Калиниград,Art,41732.77
515,21/12/2018,Стандарт,Калиниград,Art,38287.77
1614,21/12/2018,Стандарт,Калиниград,Storage,43613.54
1967,21/12/2018,Стандарт,Владивосток,Phones,12751.21
1968,21/12/2018,Стандарт,Владивосток,Supplies,12103.28
1969,21/12/2018,Стандарт,Владивосток,Paper,17456.17
2566,21/12/2018,Первый класс,Москва,Accessories,-16539.04
2719,21/12/2018,Стандарт,Калиниград,Storage,15739.97
3171,21/12/2018,Второй класс,Москва,Binders,30389.26
4104,21/12/2018,Same Day,Урал,Furnishings,24710.46
4944,21/12/2018,Стандарт,Урал,Storage,-29189.08
2269,20/12/2018,Стандарт,Владивосток,Paper,32467.29
2270,20/12/2018,Стандарт,Владивосток,Binders,3435.389
6509,20/12/2018,Стандарт,Владивосток,Paper,30326.24
6510,20/12/2018,Стандарт,Владивосток,Binders,33592.62
6511,20/12/2018,Стандарт,Владивосток,Paper,43902.54
1442,19/12/2018,Второй класс,Калиниград,Binders,14853.28
3589,19/12/2018,Первый класс,Москва,Supplies,10001.36
5472,19/12/2018,Стандарт,Калиниград,Furnishings,26496.07
5473,19/12/2018,Стандарт,Калиниград,Storage,-2115.3099999999977
5474,19/12/2018,Стандарт,Калиниград,Bookcases,39399.48
1114,18/12/2018,Второй класс,Калиниград,Binders,4832.685
1115,18/12/2018,Второй класс,Калиниград,Bookcases,27828.41
1116,18/12/2018,Второй класс,Калиниград,Accessories,43571.93
1249,18/12/2018,Стандарт,Владивосток,Art,11499.23
1250,18/12/2018,Стандарт,Владивосток,Chairs,9892.177
1251,18/12/2018,Стандарт,Владивосток,Appliances,31689.6
1252,18/12/2018,Стандарт,Владивосток,Art,14953.17
1910,18/12/2018,Стандарт,Владивосток,Furnishings,23299.81
2887,18/12/2018,Первый класс,Калиниград,Art,30841.39
2888,18/12/2018,Первый класс,Калиниград,Paper,29359.36
2889,18/12/2018,Первый класс,Калиниград,Paper,18303.52
3200,18/12/2018,Стандарт,Владивосток,Art,25041.69
7738,18/12/2018,Первый класс,Москва,Art,5011.588
8479,18/12/2018,Стандарт,Калиниград,Art,13926.04
8845,18/12/2018,Стандарт,Владивосток,Binders,26258.98
8846,18/12/2018,Стандарт,Владивосток,Fasteners,33007.39
8847,18/12/2018,Стандарт,Владивосток,Paper,36711.28
8848,18/12/2018,Стандарт,Владивосток,Appliances,14280.76
8932,18/12/2018,Стандарт,Урал,Furnishings,35151.2
8933,18/12/2018,Стандарт,Урал,Accessories,3691.657
204,17/12/2018,Второй класс,Урал,Appliances,26619.06
629,17/12/2018,Стандарт,Калиниград,Binders,18021.6
630,17/12/2018,Стандарт,Калиниград,Paper,14407.04
1025,17/12/2018,Первый класс,Калиниград,Binders,17792.35
2852,17/12/2018,Стандарт,Урал,Paper,9890.123
3029,17/12/2018,Стандарт,Москва,Chairs,34693.53
4342,17/12/2018,Стандарт,Москва,Storage,23384.18
4901,17/12/2018,Стандарт,Калиниград,Storage,14821.37
4902,17/12/2018,Стандарт,Калиниград,Supplies,33867.01
7040,17/12/2018,Стандарт,Владивосток,Storage,7860.068
7041,17/12/2018,Стандарт,Владивосток,Binders,13462.68
7042,17/12/2018,Стандарт,Владивосток,Furnishings,10868.4
9378,17/12/2018,Стандарт,Урал,Storage,8628.744
2963,16/12/2018,Второй класс,Калиниград,Chairs,3988.317
2964,16/12/2018,Второй класс,Калиниград,Chairs,11553.99
2965,16/12/2018,Второй класс,Калиниград,Binders,20990.35
2966,16/12/2018,Второй класс,Калиниград,Furnishings,13293.45
2974,16/12/2018,Стандарт,Урал,Binders,36734.86
3004,16/12/2018,Стандарт,Владивосток,Binders,1130.291
6552,16/12/2018,Второй класс,Калиниград,Paper,6726.46
6553,16/12/2018,Второй класс,Калиниград,Storage,10780.58
9045,16/12/2018,Второй класс,Калиниград,Binders,20438.22
9046,16/12/2018,Второй класс,Калиниград,Accessories,34660.39
9047,16/12/2018,Второй класс,Калиниград,Accessories,42451.91
9048,16/12/2018,Второй класс,Калиниград,Art,7109.174
9049,16/12/2018,Второй класс,Калиниград,Labels,18706.37
3982,15/12/2018,Стандарт,Калиниград,Furnishings,24609.3
4860,15/12/2018,Стандарт,Урал,Art,12735.8
9699,15/12/2018,Стандарт,Калиниград,Paper,7133.82
9700,15/12/2018,Стандарт,Калиниград,Appliances,22239.37
9701,15/12/2018,Стандарт,Калиниград,Phones,9972.965
2947,14/12/2018,Стандарт,Калиниград,Furnishings,42694.64
2948,14/12/2018,Стандарт,Калиниград,Binders,2085.374
2949,14/12/2018,Стандарт,Калиниград,Envelopes,4228.568
3332,14/12/2018,Стандарт,Урал,Accessories,9160.322
3333,14/12/2018,Стандарт,Урал,Phones,22860.64
3334,14/12/2018,Стандарт,Урал,Furnishings,24974.33
5276,14/12/2018,Стандарт,Москва,Accessories,15663.45
5277,14/12/2018,Стандарт,Москва,Accessories,13498.98
6439,14/12/2018,Стандарт,Урал,Tables,2835.357
6713,14/12/2018,Same Day,Урал,Furnishings,25958.08
6714,14/12/2018,Same Day,Урал,Furnishings,10117.21
6715,14/12/2018,Same Day,Урал,Accessories,40374.61
6716,14/12/2018,Same Day,Урал,Art,33845.82
7698,14/12/2018,Стандарт,Владивосток,Copiers,43875.29
7699,14/12/2018,Стандарт,Владивосток,Storage,43796.1
7700,14/12/2018,Стандарт,Владивосток,Supplies,38720.96
7701,14/12/2018,Стандарт,Владивосток,Fasteners,1886.134
7702,14/12/2018,Стандарт,Владивосток,Tables,23484.02
6192,13/12/2018,Same Day,Калиниград,Storage,39333.61
8779,13/12/2018,Стандарт,Владивосток,Bookcases,10326.13
9682,13/12/2018,Стандарт,Калиниград,Labels,40910.88
9683,13/12/2018,Стандарт,Калиниград,Paper,19450.35
9684,13/12/2018,Стандарт,Калиниград,Furnishings,10261.32
9685,13/12/2018,Стандарт,Калиниград,Paper,22011.72
390,11/12/2018,Стандарт,Владивосток,Binders,3279.737
391,11/12/2018,Стандарт,Владивосток,Accessories,21447.46
1516,11/12/2018,Стандарт,Владивосток,Chairs,26546.78
4358,11/12/2018,Same Day,Урал,Paper,30070.35
4359,11/12/2018,Same Day,Урал,Furnishings,15489.36
4360,11/12/2018,Same Day,Урал,Chairs,25839.96
6007,11/12/2018,Стандарт,Владивосток,Phones,4351.377
6273,11/12/2018,Первый класс,Урал,Accessories,2884.197
6748,11/12/2018,Стандарт,Владивосток,Binders,30882.81
6749,11/12/2018,Стандарт,Владивосток,Paper,39113.76
6750,11/12/2018,Стандарт,Владивосток,Phones,38934.32
6990,11/12/2018,Первый класс,Урал,Appliances,43663.12
7345,11/12/2018,Стандарт,Москва,Tables,28352.66
7346,11/12/2018,Стандарт,Москва,Phones,33416.66
7347,11/12/2018,Стандарт,Москва,Art,37083.16
7348,11/12/2018,Стандарт,Москва,Chairs,25192.87
9210,11/12/2018,Второй класс,Урал,Envelopes,28832.67
9211,11/12/2018,Второй класс,Урал,Binders,34783.72
9488,11/12/2018,Первый класс,Владивосток,Fasteners,18112.26
1058,10/12/2018,Стандарт,Калиниград,Binders,22110.98
1059,10/12/2018,Стандарт,Калиниград,Binders,37376.91
1318,10/12/2018,Стандарт,Владивосток,Accessories,5906.863
1509,10/12/2018,Same Day,Урал,Binders,2366.193
1517,10/12/2018,Второй класс,Калиниград,Tables,32657.44
1688,10/12/2018,Первый класс,Владивосток,Paper,43893.41
1689,10/12/2018,Первый класс,Владивосток,Furnishings,14114.52
2336,10/12/2018,Same Day,Владивосток,Envelopes,17924.85
2337,10/12/2018,Same Day,Владивосток,Appliances,6319.906
2773,10/12/2018,Первый класс,Москва,Furnishings,17304.81
3246,10/12/2018,Второй класс,Калиниград,Accessories,8976.509
3247,10/12/2018,Второй класс,Калиниград,Storage,62368.46
3248,10/12/2018,Второй класс,Калиниград,Art,38880.77
3526,10/12/2018,Второй класс,Москва,Accessories,35156.9
3527,10/12/2018,Второй класс,Москва,Phones,15474.44
3528,10/12/2018,Второй класс,Москва,Binders,16753.73
4353,10/12/2018,Второй класс,Калиниград,Phones,41774.29
4354,10/12/2018,Второй класс,Калиниград,Paper,23858.97
6909,10/12/2018,Стандарт,Москва,Furnishings,16195.38
9410,10/12/2018,Первый класс,Владивосток,Binders,14072.83
9411,10/12/2018,Первый класс,Владивосток,Furnishings,15953.31
76,09/12/2018,Первый класс,Урал,Binders,29842.76
77,09/12/2018,Первый класс,Урал,Furnishings,33544.78
78,09/12/2018,Первый класс,Урал,Storage,66004.08
206,09/12/2018,Стандарт,Калиниград,Phones,20309.63
269,09/12/2018,Стандарт,Владивосток,Storage,12638.91
270,09/12/2018,Стандарт,Владивосток,Envelopes,11219.06
1469,09/12/2018,Стандарт,Урал,Chairs,43238.89
1470,09/12/2018,Стандарт,Урал,Binders,41242.1
1471,09/12/2018,Стандарт,Урал,Paper,5380.728
1691,09/12/2018,Стандарт,Урал,Paper,22190.35
1692,09/12/2018,Стандарт,Урал,Binders,20918.0
3596,09/12/2018,Стандарт,Владивосток,Art,18822.6
3651,09/12/2018,Второй класс,Урал,Accessories,20487.43
3652,09/12/2018,Второй класс,Урал,Art,13877.31
3653,09/12/2018,Второй класс,Урал,Binders,38904.84
3654,09/12/2018,Второй класс,Урал,Paper,31523.71
4211,09/12/2018,Стандарт,Урал,Paper,30279.42
4291,09/12/2018,Второй класс,Калиниград,Art,2098.234
4292,09/12/2018,Второй класс,Калиниград,Tables,32713.24
4293,09/12/2018,Второй класс,Калиниград,Appliances,21589.96
5351,09/12/2018,Стандарт,Урал,Paper,14310.54
6771,09/12/2018,Стандарт,Калиниград,Paper,23358.21
6772,09/12/2018,Стандарт,Калиниград,Binders,37424.77
7014,09/12/2018,Второй класс,Калиниград,Bookcases,14244.77
7515,09/12/2018,Второй класс,Москва,Binders,26247.21
7516,09/12/2018,Второй класс,Москва,Appliances,23652.16
7517,09/12/2018,Второй класс,Москва,Binders,26418.56
7518,09/12/2018,Второй класс,Москва,Accessories,1420.301
7519,09/12/2018,Второй класс,Москва,Storage,36208.43
7520,09/12/2018,Второй класс,Москва,Labels,23834.7
7521,09/12/2018,Второй класс,Москва,Copiers,6181.643
8586,09/12/2018,Стандарт,Владивосток,Binders,42811.52
9768,09/12/2018,Стандарт,Урал,Binders,42713.27
406,08/12/2018,Стандарт,Калиниград,Accessories,1339.309
407,08/12/2018,Стандарт,Калиниград,Copiers,4135.524
408,08/12/2018,Стандарт,Калиниград,Paper,41092.38
409,08/12/2018,Стандарт,Калиниград,Tables,24649.29
410,08/12/2018,Стандарт,Калиниград,Paper,23149.37
411,08/12/2018,Стандарт,Калиниград,Labels,1070.142
412,08/12/2018,Стандарт,Калиниград,Paper,27252.23
413,08/12/2018,Стандарт,Калиниград,Bookcases,6747.513
414,08/12/2018,Стандарт,Калиниград,Chairs,27056.65
1168,08/12/2018,Второй класс,Владивосток,Furnishings,4274.804
1169,08/12/2018,Второй класс,Владивосток,Storage,47501.02
1170,08/12/2018,Второй класс,Владивосток,Paper,37240.13
1171,08/12/2018,Второй класс,Владивосток,Storage,27787.53
3431,08/12/2018,Первый класс,Калиниград,Storage,12465.99
3432,08/12/2018,Первый класс,Калиниград,Furnishings,7228.755
3433,08/12/2018,Первый класс,Калиниград,Paper,40520.09
4953,08/12/2018,Второй класс,Калиниград,Appliances,33229.55
5408,08/12/2018,Стандарт,Калиниград,Paper,4751.364
5409,08/12/2018,Стандарт,Калиниград,Binders,11491.57
5410,08/12/2018,Стандарт,Калиниград,Binders,37187.39
5411,08/12/2018,Стандарт,Калиниград,Storage,2764.117
5728,08/12/2018,Стандарт,Урал,Accessories,35684.97
5729,08/12/2018,Стандарт,Урал,Appliances,36389.91
5730,08/12/2018,Стандарт,Урал,Labels,28056.56
5731,08/12/2018,Стандарт,Урал,Bookcases,3413.687
5732,08/12/2018,Стандарт,Урал,Paper,3818.349
7821,08/12/2018,Второй класс,Владивосток,Storage,32392.35
8109,08/12/2018,Стандарт,Владивосток,Chairs,3420.970000000001
8739,08/12/2018,Первый класс,Владивосток,Art,2691.192
8740,08/12/2018,Первый класс,Владивосток,Phones,39806.65
566,07/12/2018,Первый класс,Калиниград,Phones,4167.609
3897,07/12/2018,Стандарт,Урал,Fasteners,1452.863
3898,07/12/2018,Стандарт,Урал,Paper,44230.54
3900,07/12/2018,Первый класс,Владивосток,Accessories,26841.19
4319,07/12/2018,Стандарт,Москва,Furnishings,13597.07
4992,07/12/2018,Стандарт,Урал,Binders,32851.27
7855,07/12/2018,Стандарт,Москва,Appliances,24040.13
7856,07/12/2018,Стандарт,Москва,Accessories,24899.09
9769,07/12/2018,Стандарт,Калиниград,Paper,17264.73
6906,06/12/2018,Второй класс,Калиниград,Storage,9855.647
674,05/12/2018,Первый класс,Урал,Appliances,12935.22
675,05/12/2018,Первый класс,Урал,Paper,36307.89
676,05/12/2018,Первый класс,Урал,Accessories,27546.51
1925,05/12/2018,Второй класс,Калиниград,Paper,19034.49
2235,05/12/2018,Стандарт,Владивосток,Accessories,36184.28
3179,05/12/2018,Стандарт,Владивосток,Furnishings,23115.84
3180,05/12/2018,Стандарт,Владивосток,Furnishings,24565.82
3181,05/12/2018,Стандарт,Владивосток,Appliances,22537.63
3434,05/12/2018,Стандарт,Калиниград,Binders,26331.53
3435,05/12/2018,Стандарт,Калиниград,Binders,22803.04
7324,05/12/2018,Первый класс,Владивосток,Furnishings,27163.2
7325,05/12/2018,Первый класс,Владивосток,Labels,7224.041
9525,05/12/2018,Первый класс,Калиниград,Binders,73626.18
9526,05/12/2018,Первый класс,Калиниград,Furnishings,17817.36
9527,05/12/2018,Первый класс,Калиниград,Phones,20481.13
9528,05/12/2018,Первый класс,Калиниград,Binders,-30341.055
9529,05/12/2018,Первый класс,Калиниград,Binders,27923.77
9608,05/12/2018,Второй класс,Владивосток,Paper,34569.53
9609,05/12/2018,Второй класс,Владивосток,Labels,20040.0
2691,04/12/2018,Стандарт,Владивосток,Binders,5610.134
2977,04/12/2018,Same Day,Владивосток,Chairs,1715.444
5518,04/12/2018,Стандарт,Владивосток,Chairs,21460.1
5519,04/12/2018,Стандарт,Владивосток,Furnishings,34135.89
5520,04/12/2018,Стандарт,Владивосток,Art,34779.94
5521,04/12/2018,Стандарт,Владивосток,Paper,41974.63
5522,04/12/2018,Стандарт,Владивосток,Accessories,31951.59
6123,04/12/2018,Стандарт,Урал,Storage,-1436.6100000000006
6532,04/12/2018,Стандарт,Урал,Art,42414.49
6533,04/12/2018,Стандарт,Урал,Accessories,25411.14
6534,04/12/2018,Стандарт,Урал,Accessories,20492.82
7293,04/12/2018,Стандарт,Москва,Machines,20118.18
7392,04/12/2018,Второй класс,Владивосток,Paper,5969.371
8391,04/12/2018,Первый класс,Калиниград,Paper,29448.47
8519,04/12/2018,Стандарт,Владивосток,Furnishings,1215.6500000000015
8520,04/12/2018,Стандарт,Владивосток,Chairs,14494.12
8521,04/12/2018,Стандарт,Владивосток,Chairs,29716.31
9071,04/12/2018,Первый класс,Владивосток,Furnishings,21674.01
2463,03/12/2018,Стандарт,Владивосток,Binders,16323.11
2464,03/12/2018,Стандарт,Владивосток,Binders,9207.921
2465,03/12/2018,Стандарт,Владивосток,Phones,27480.23
2466,03/12/2018,Стандарт,Владивосток,Labels,30872.08
2675,03/12/2018,Same Day,Калиниград,Paper,6321.508
3465,03/12/2018,Второй класс,Москва,Accessories,15596.17
4566,03/12/2018,Стандарт,Москва,Appliances,32903.17
4567,03/12/2018,Стандарт,Москва,Binders,28520.27
4568,03/12/2018,Стандарт,Москва,Paper,38906.56
4717,03/12/2018,Второй класс,Калиниград,Tables,24084.77
7537,03/12/2018,Стандарт,Урал,Furnishings,22015.47
7762,03/12/2018,Первый класс,Урал,Paper,2650.523
7881,03/12/2018,Второй класс,Калиниград,Art,41718.35
7882,03/12/2018,Второй класс,Калиниград,Accessories,40914.12
7883,03/12/2018,Второй класс,Калиниград,Accessories,42579.25
7884,03/12/2018,Второй класс,Калиниград,Paper,12643.6
7885,03/12/2018,Второй класс,Калиниград,Supplies,29039.22
7886,03/12/2018,Второй класс,Калиниград,Furnishings,-18325.42
7887,03/12/2018,Второй класс,Калиниград,Furnishings,25444.28
7888,03/12/2018,Второй класс,Калиниград,Furnishings,44223.75
1753,02/12/2018,Первый класс,Калиниград,Storage,33639.63
1754,02/12/2018,Первый класс,Калиниград,Paper,33922.59
1755,02/12/2018,Первый класс,Калиниград,Paper,20041.65
1895,02/12/2018,Первый класс,Москва,Art,25178.58
1996,02/12/2018,Второй класс,Урал,Appliances,19156.82
1997,02/12/2018,Второй класс,Урал,Furnishings,17346.29
2271,02/12/2018,Стандарт,Москва,Art,15271.16
2349,02/12/2018,Same Day,Калиниград,Binders,39119.19
2350,02/12/2018,Same Day,Калиниград,Binders,37202.68
2351,02/12/2018,Same Day,Калиниград,Paper,4313.516
2352,02/12/2018,Same Day,Калиниград,Appliances,42037.2
2353,02/12/2018,Same Day,Калиниград,Art,39632.3
2513,02/12/2018,Стандарт,Москва,Binders,8413.526
4498,02/12/2018,Стандарт,Владивосток,Binders,30835.77
5531,02/12/2018,Стандарт,Урал,Phones,2939.622
6270,02/12/2018,Стандарт,Калиниград,Phones,38356.67
6271,02/12/2018,Стандарт,Калиниград,Chairs,35679.92
6272,02/12/2018,Стандарт,Калиниград,Art,14059.34
6292,02/12/2018,Первый класс,Москва,Chairs,23141.79
6690,02/12/2018,Стандарт,Урал,Art,35839.94
6760,02/12/2018,Стандарт,Москва,Art,14302.21
7539,02/12/2018,Стандарт,Калиниград,Storage,23789.54
7540,02/12/2018,Стандарт,Калиниград,Binders,22817.05
7541,02/12/2018,Стандарт,Калиниград,Bookcases,43708.45
7542,02/12/2018,Стандарт,Калиниград,Phones,19868.91
7543,02/12/2018,Стандарт,Калиниград,Furnishings,82802.16
7544,02/12/2018,Стандарт,Калиниград,Phones,19263.17
7545,02/12/2018,Стандарт,Калиниград,Chairs,25505.06
8642,02/12/2018,Same Day,Калиниград,Binders,14861.31
8970,02/12/2018,Стандарт,Владивосток,Art,1836.079
8971,02/12/2018,Стандарт,Владивосток,Phones,35247.97
9727,02/12/2018,Первый класс,Владивосток,Appliances,24254.3
9728,02/12/2018,Первый класс,Владивосток,Phones,35975.27
9729,02/12/2018,Первый класс,Владивосток,Supplies,41089.52
207,01/12/2018,Стандарт,Урал,Storage,10649.24
208,01/12/2018,Стандарт,Урал,Phones,15817.79
209,01/12/2018,Стандарт,Урал,Binders,6239.577
210,01/12/2018,Стандарт,Урал,Fasteners,38367.71
211,01/12/2018,Стандарт,Урал,Storage,43477.56
259,01/12/2018,Второй класс,Владивосток,Accessories,32814.38
260,01/12/2018,Второй класс,Владивосток,Storage,5827.933
261,01/12/2018,Второй класс,Владивосток,Binders,42109.41
582,01/12/2018,Стандарт,Калиниград,Phones,15489.0
583,01/12/2018,Стандарт,Калиниград,Phones,12274.79
584,01/12/2018,Стандарт,Калиниград,Appliances,23494.62
585,01/12/2018,Стандарт,Калиниград,Binders,8816.369
586,01/12/2018,Стандарт,Калиниград,Phones,3553.08
2125,01/12/2018,Стандарт,Владивосток,Envelopes,19739.68
2126,01/12/2018,Стандарт,Владивосток,Phones,-25829.84
3244,01/12/2018,Стандарт,Урал,Phones,13246.39
3245,01/12/2018,Стандарт,Урал,Chairs,30665.84
3557,01/12/2018,Стандарт,Калиниград,Paper,33705.03
3558,01/12/2018,Стандарт,Калиниград,Binders,34346.25
4140,01/12/2018,Первый класс,Владивосток,Storage,35646.04
4141,01/12/2018,Первый класс,Владивосток,Furnishings,26183.08
4928,01/12/2018,Стандарт,Владивосток,Paper,24781.37
4929,01/12/2018,Стандарт,Владивосток,Chairs,42711.97
6205,01/12/2018,Первый класс,Владивосток,Furnishings,44684.45
6864,01/12/2018,Стандарт,Урал,Paper,24007.35
7122,01/12/2018,Стандарт,Калиниград,Paper,17759.96
7123,01/12/2018,Стандарт,Калиниград,Bookcases,4700.654
8870,01/12/2018,Стандарт,Калиниград,Binders,8767.538
8871,01/12/2018,Стандарт,Калиниград,Furnishings,11890.36
8872,01/12/2018,Стандарт,Калиниград,Storage,3648.947
