user_id,acq_channel,transactions
8f_761-5b-89,GameAds,37
9416fac1b3a0,GameAds,40
c5f0b9d216b0,JetAds,26
54-1380a3262,SenseAds,67
_a341f877caf,BrainPlus,71
241cb8694b53,JetAds,47
35_484421-_4,SenseAds,73
53_8533f697c,BrainPlus,28
d_42bc99715d,BrainPlus,68
ac697ff23_7c,JetAds,48
cf356c8c270c,SenseAds,49
2479d-a-1--b,JetAds,47
8-7b70310913,SenseAds,42
f5867d-526db,GameAds,55
c-5976-58f-7,GameAds,78
2b96c03fd4d5,JetAds,33
-545_-_38-89,JetAds,41
d73459ffa7ff,BrainPlus,36
d66199666c5_,JetAds,43
7401fcc764a5,GameAds,5
101-2dd7b2_1,GameAds,44
68a_239a73b8,JetAds,47
9503f0b3cb67,JetAds,30
c5f0b9d216b0,GameAds,34
7574_72_545d,SenseAds,62
-446d6c32_87,JetAds,36
8d__71fb4_2a,SenseAds,40
83526f3-2b98,JetAds,63
0c9453440c85,BrainPlus,23
35_484421-_4,JetAds,42
b1f1a8df_c_7,BrainPlus,20
-b8c8db15c8a,JetAds,29
6-2276db_87b,BrainPlus,46
75b08_0d_68f,GameAds,61
a7d2a4d8bb22,JetAds,61
9503f0b3cb67,GameAds,33
8d__71fb4_2a,BrainPlus,36
aaf500_fc817,BrainPlus,55
ad031850cc67,GameAds,45
25d52a156bcc,SenseAds,29
44a52-aad805,JetAds,53
aa68f--adf-f,BrainPlus,54
83526f3-2b98,BrainPlus,80
7b54bdf4-64-,GameAds,51
a_17172c---5,SenseAds,40
cb5c5_3d0-61,SenseAds,58
c-5976-58f-7,JetAds,42
b_6c123_1f7d,JetAds,39
d73459ffa7ff,JetAds,50
d66199666c5_,JetAds,67
101-2dd7b2_1,JetAds,77
75b08_0d_68f,BrainPlus,59
84_f779141-d,GameAds,57
8f_761-5b-89,SenseAds,76
_16712f9_-ac,JetAds,55
6cb_492c83b8,JetAds,51
-446d6c32_87,SenseAds,61
8d__71fb4_2a,JetAds,58
37d706cd9dac,SenseAds,58
25d52a156bcc,BrainPlus,85
7da_62c08c83,JetAds,39
0b31dc55b4__,GameAds,42
a_17172c---5,BrainPlus,28
11345d93_-9-,SenseAds,29
4932a051-6_2,BrainPlus,65
-b8c8db15c8a,JetAds,59
9d617_a0_5-3,SenseAds,60
d66199666c5_,JetAds,53
36c-705d34a5,SenseAds,19
a7d2a4d8bb22,SenseAds,71
9503f0b3cb67,SenseAds,34
aaf500_fc817,JetAds,60
c-_301f0a7a-,BrainPlus,71
44a52-aad805,JetAds,34
aa68f--adf-f,SenseAds,23
-cd47cdaa626,SenseAds,30
5ac218565d92,SenseAds,43
33c29375_8ac,GameAds,40
4f-313-143f7,BrainPlus,54
9-64-32-4d58,SenseAds,62
7da_62c08c83,JetAds,27
c60360dd52_c,JetAds,33
d_42bc99715d,JetAds,30
f25f9b55b1-5,JetAds,62
cb5c5_3d0-61,JetAds,37
6-2276db_87b,SenseAds,63
a7d2a4d8bb22,BrainPlus,43
188f0f-8d4b2,GameAds,50
1707--88397a,BrainPlus,22
182741_f953b,JetAds,27
37d706cd9dac,GameAds,40
c57017892cf9,GameAds,37
7-b527d85622,JetAds,63
af27-8b-3a6-,BrainPlus,48
7c8c1-3bcd2d,BrainPlus,45
4-d1fcd-37_5,BrainPlus,53
83526f3-2b98,GameAds,71
86_17d89b08-,SenseAds,47
d_42bc99715d,JetAds,86
2aca4_975_64,GameAds,39
2fc0a9f8ad_0,SenseAds,33
2b96c03fd4d5,JetAds,54
-b8c8db15c8a,GameAds,44
b79f7_c7_b9-,BrainPlus,48
1d-3a7cd2d42,GameAds,67
_16712f9_-ac,JetAds,77
7574_72_545d,BrainPlus,60
1d4642_d31a8,BrainPlus,31
182741_f953b,GameAds,55
ad031850cc67,BrainPlus,50
-cd47cdaa626,BrainPlus,55
b982d-7cc752,BrainPlus,48
ccda0f77093-,GameAds,50
4-d1fcd-37_5,SenseAds,34
8d5-44-0814d,JetAds,71
0b31dc55b4__,BrainPlus,46
d9082b279fb-,SenseAds,76
d_42bc99715d,JetAds,64
c727fd7cc667,SenseAds,68
2479d-a-1--b,SenseAds,55
_3afb1-3d18f,BrainPlus,63
30b98b36_369,GameAds,39
72129a-69_95,GameAds,26
-b8c8db15c8a,SenseAds,61
6-2276db_87b,BrainPlus,56
75b08_0d_68f,JetAds,45
a7d2a4d8bb22,BrainPlus,23
84_f779141-d,BrainPlus,41
9416fac1b3a0,SenseAds,47
da2d13c24800,BrainPlus,63
c57017892cf9,SenseAds,38
0d81-4dd2d5d,GameAds,61
-14c3534f937,BrainPlus,76
_c72d8c692aa,JetAds,37
-cd47cdaa626,BrainPlus,55
33c29375_8ac,JetAds,36
b982d-7cc752,BrainPlus,50
4-d1fcd-37_5,SenseAds,41
3f811-_1f183,BrainPlus,33
7da_62c08c83,SenseAds,70
6a084897_14c,SenseAds,41
_3afb1-3d18f,SenseAds,45
2aca4_975_64,GameAds,75
b_6c123_1f7d,GameAds,45
50a470_6471c,BrainPlus,41
-c5--74dd9_f,GameAds,41
36c-705d34a5,GameAds,32
1d-3a7cd2d42,BrainPlus,37
188f0f-8d4b2,SenseAds,53
182741_f953b,BrainPlus,46
ad031850cc67,SenseAds,72
0d81-4dd2d5d,SenseAds,34
b_8_-c1834ab,SenseAds,57
b982d-7cc752,SenseAds,29
3f811-_1f183,SenseAds,52
5_59a0c29882,JetAds,52
9d-ff59d1ab0,BrainPlus,45
b4a-6840c506,JetAds,40
4f9659_b_3a6,BrainPlus,49
_-34d62ca_5c,SenseAds,43
0c9453440c85,BrainPlus,54
-4c86aa5732-,JetAds,50
86_17d89b08-,SenseAds,54
2250aaf0-9ff,BrainPlus,33
30b98b36_369,SenseAds,60
4b0fa428cafa,GameAds,38
3f94090-0df0,SenseAds,68
8-7b70310913,BrainPlus,61
6ad6c5-6-2-a,SenseAds,35
d73459ffa7ff,GameAds,41
6-2276db_87b,JetAds,40
8199449-d6b5,GameAds,53
fa239dbb3-dd,JetAds,47
101-2dd7b2_1,JetAds,21
8f_761-5b-89,SenseAds,48
54-1380a3262,BrainPlus,4
-446d6c32_87,GameAds,58
da2d13c24800,BrainPlus,53
616c34915819,BrainPlus,36
4_7026d2__d4,GameAds,58
fd74ccf0a_66,SenseAds,65
_f35b7723546,GameAds,61
a62351-136d0,GameAds,15
3a-2a04203-5,BrainPlus,21
15b647674228,JetAds,66
bf_81d5a-125,JetAds,41
83526f3-2b98,GameAds,40
4c6042c88b3b,GameAds,51
_3afb1-3d18f,GameAds,22
30b98b36_369,GameAds,48
3f94090-0df0,BrainPlus,48
7850778124a1,GameAds,48
2aca4_975_64,BrainPlus,67
d66199666c5_,JetAds,51
36c-705d34a5,JetAds,47
c5f0b9d216b0,SenseAds,45
37d706cd9dac,JetAds,41
616c34915819,BrainPlus,44
b_8_-c1834ab,BrainPlus,48
4-d1fcd-37_5,GameAds,62
4_7026d2__d4,BrainPlus,71
fd74ccf0a_66,SenseAds,84
ca15cd8ab283,GameAds,45
4f9659_b_3a6,JetAds,52
f-b6c75cf346,SenseAds,50
25bac391a0-5,BrainPlus,38
c05f688d4b2c,JetAds,52
542f52cb9d0c,GameAds,67
f7c4c96a1b-0,GameAds,50
6-ab33258b-2,JetAds,15
_a341f877caf,JetAds,46
0761c79cc1d6,SenseAds,22
53_8533f697c,SenseAds,52
c727fd7cc667,BrainPlus,19
72129a-69_95,BrainPlus,39
7401fcc764a5,BrainPlus,53
8199449-d6b5,SenseAds,42
fa239dbb3-dd,SenseAds,64
75b08_0d_68f,JetAds,44
-14c3534f937,GameAds,36
-cd47cdaa626,GameAds,66
af27-8b-3a6-,BrainPlus,28
4-d1fcd-37_5,GameAds,63
4_7026d2__d4,GameAds,37
4d79dca77d_d,GameAds,64
_-34d62ca_5c,BrainPlus,46
25bac391a0-5,BrainPlus,40
542f52cb9d0c,JetAds,58
f7c4c96a1b-0,GameAds,37
1b8b_d38da99,JetAds,69
0126-d4153b0,GameAds,44
914b595_3d9_,BrainPlus,66
7da_62c08c83,SenseAds,36
0b31dc55b4__,JetAds,70
4c6042c88b3b,JetAds,52
86_17d89b08-,GameAds,36
7850778124a1,SenseAds,61
8-7b70310913,BrainPlus,85
9503f0b3cb67,GameAds,41
54-1380a3262,JetAds,62
ad031850cc67,JetAds,53
c-_301f0a7a-,GameAds,37
aa68f--adf-f,GameAds,40
b982d-7cc752,SenseAds,52
b4a-6840c506,BrainPlus,41
4f9659_b_3a6,GameAds,55
_f35b7723546,GameAds,39
1091248239b1,GameAds,29
15b647674228,GameAds,36
f7c4c96a1b-0,GameAds,24
f0_997f2608d,JetAds,55
cb1d59cfc_f9,SenseAds,59
8933b-c_0-72,GameAds,50
8f35f3_3fa13,BrainPlus,66
241cb8694b53,BrainPlus,57
83526f3-2b98,SenseAds,44
6a084897_14c,GameAds,41
b1f1a8df_c_7,SenseAds,48
8-7b70310913,SenseAds,58
f5867d-526db,SenseAds,38
-c5--74dd9_f,JetAds,58
101-2dd7b2_1,GameAds,58
9503f0b3cb67,GameAds,58
8f_761-5b-89,JetAds,54
7574_72_545d,SenseAds,29
-446d6c32_87,SenseAds,70
37d706cd9dac,GameAds,66
-cd47cdaa626,GameAds,37
fd74ccf0a_66,JetAds,64
9d-ff59d1ab0,BrainPlus,47
4f9659_b_3a6,BrainPlus,56
a62351-136d0,BrainPlus,33
15b647674228,SenseAds,90
f0_997f2608d,BrainPlus,25
cb1d59cfc_f9,BrainPlus,49
78b95-34f456,BrainPlus,60
0126-d4153b0,BrainPlus,50
cdd6f2699044,GameAds,39
22_2b-f5705f,SenseAds,57
8d5-44-0814d,JetAds,52
0c9453440c85,SenseAds,32
a6f1a5203623,GameAds,63
84_f779141-d,JetAds,50
1d-3a7cd2d42,BrainPlus,47
c5f0b9d216b0,SenseAds,59
5ac218565d92,GameAds,60
7c8c1-3bcd2d,BrainPlus,25
4d79dca77d_d,GameAds,67
1091248239b1,GameAds,52
3a-2a04203-5,JetAds,61
bf_81d5a-125,SenseAds,43
f7c4c96a1b-0,BrainPlus,46
0126-d4153b0,BrainPlus,52
_87ac35c9f7-,JetAds,41
8f35f3_3fa13,SenseAds,58
-38c8a42a-41,BrainPlus,33
09f8d9f5d582,JetAds,70
3894af-2_ab1,SenseAds,67
5-c50_dc_821,BrainPlus,35
_80-79581da1,GameAds,56
_a341f877caf,GameAds,40
ac697ff23_7c,SenseAds,64
cf356c8c270c,BrainPlus,42
f5867d-526db,GameAds,44
a6f1a5203623,SenseAds,50
6-2276db_87b,GameAds,60
fa239dbb3-dd,BrainPlus,48
a7d2a4d8bb22,BrainPlus,49
_16712f9_-ac,BrainPlus,36
7574_72_545d,BrainPlus,63
aaf500_fc817,GameAds,47
-cd47cdaa626,GameAds,54
af27-8b-3a6-,JetAds,58
5ac218565d92,JetAds,28
ccda0f77093-,GameAds,47
4d79dca77d_d,SenseAds,42
4f9659_b_3a6,BrainPlus,79
78b95-34f456,BrainPlus,59
-_879_4_5881,GameAds,32
8933b-c_0-72,GameAds,65
914b595_3d9_,BrainPlus,59
50865d5492b6,GameAds,56
cdd6f2699044,SenseAds,50
3894af-2_ab1,JetAds,32
a9754fd37343,JetAds,48
08bb8563--f2,SenseAds,22
df0f3327-381,GameAds,52
926d653_fd4a,JetAds,71
86_17d89b08-,JetAds,33
c727fd7cc667,BrainPlus,67
c-5976-58f-7,GameAds,58
9d617_a0_5-3,JetAds,59
c5f0b9d216b0,GameAds,32
da2d13c24800,BrainPlus,32
182741_f953b,BrainPlus,37
5ac218565d92,SenseAds,24
ccda0f77093-,JetAds,15
4d79dca77d_d,JetAds,37
f7c4c96a1b-0,BrainPlus,37
6-ab33258b-2,SenseAds,59
-_879_4_5881,JetAds,34
9b-7-2f-6daf,BrainPlus,44
3df42900af2b,JetAds,36
cdd6f2699044,JetAds,35
22_2b-f5705f,BrainPlus,43
0-2daa4f62b4,BrainPlus,47
4b9b310f8543,SenseAds,44
b25793bdaf06,SenseAds,16
926d653_fd4a,BrainPlus,56
0b31dc55b4__,BrainPlus,50
cb5c5_3d0-61,JetAds,50
-545_-_38-89,SenseAds,60
d66199666c5_,BrainPlus,37
da2d13c24800,GameAds,38
af27-8b-3a6-,BrainPlus,52
b982d-7cc752,BrainPlus,42
1091248239b1,JetAds,46
bf_81d5a-125,SenseAds,52
542f52cb9d0c,JetAds,23
f7c4c96a1b-0,BrainPlus,23
2d5cf5f350_-,JetAds,38
1b8b_d38da99,JetAds,36
df96909147-c,GameAds,56
_87ac35c9f7-,GameAds,51
9b-7-2f-6daf,GameAds,23
b1007f33a6cc,JetAds,64
76a2-56d3720,GameAds,45
_-049c8b22d5,GameAds,53
4b9b310f8543,BrainPlus,31
0f490c_f9303,JetAds,41
5_03512049d4,JetAds,36
3b9__25040_-,SenseAds,52
5_9c69c08_34,BrainPlus,54
30007d73_7c5,BrainPlus,24
-2c7aa85f6-9,BrainPlus,60
0dc298ca92ff,JetAds,37
-545_-_38-89,GameAds,61
75b08_0d_68f,GameAds,48
8f_761-5b-89,JetAds,53
188f0f-8d4b2,JetAds,43
ccda0f77093-,GameAds,56
4-d1fcd-37_5,JetAds,64
6-ab33258b-2,GameAds,55
3df42900af2b,SenseAds,56
7_-2__b6c317,BrainPlus,45
ca15f1a9_d64,SenseAds,77
5-c50_dc_821,SenseAds,47
d4_-fb06f79f,JetAds,53
08bb8563--f2,JetAds,59
3b9__25040_-,JetAds,41
-2c7aa85f6-9,GameAds,40
0dc298ca92ff,BrainPlus,47
83bac_7ba6a1,JetAds,46
c_90ffd877db,GameAds,38
81ffb7c48_5_,GameAds,49
-0967799494a,BrainPlus,69
37407-953a42,JetAds,50
86_17d89b08-,BrainPlus,17
11345d93_-9-,SenseAds,45
4b0fa428cafa,GameAds,74
b_6c123_1f7d,GameAds,46
a6f1a5203623,JetAds,51
fa239dbb3-dd,BrainPlus,24
_16712f9_-ac,JetAds,56
37d706cd9dac,JetAds,52
aa68f--adf-f,GameAds,47
b982d-7cc752,JetAds,56
4d79dca77d_d,GameAds,46
fd74ccf0a_66,BrainPlus,48
5_59a0c29882,JetAds,40
4f9659_b_3a6,JetAds,43
df96909147-c,SenseAds,49
cdd6f2699044,SenseAds,26
09f8d9f5d582,JetAds,48
0-2daa4f62b4,BrainPlus,73
76a2-56d3720,BrainPlus,23
4b9b310f8543,GameAds,40
5_03512049d4,JetAds,59
-2c7aa85f6-9,BrainPlus,12
c-46__8b-12a,GameAds,64
809-872a137_,JetAds,70
_2326b5a7a38,JetAds,48
8ccd2a8-8698,SenseAds,37
37407-953a42,GameAds,52
241cb8694b53,SenseAds,77
7b54bdf4-64-,SenseAds,50
86_17d89b08-,SenseAds,52
c727fd7cc667,SenseAds,63
cb5c5_3d0-61,BrainPlus,59
9d617_a0_5-3,GameAds,77
7a3_--0d4130,GameAds,61
8f_761-5b-89,BrainPlus,43
9416fac1b3a0,SenseAds,59
aa68f--adf-f,GameAds,58
-cd47cdaa626,JetAds,38
53_f-27b541f,GameAds,61
3894af-2_ab1,SenseAds,51
519988f1da3-,SenseAds,69
b25793bdaf06,SenseAds,57
-52703_a273f,JetAds,21
c-46__8b-12a,JetAds,45
83bac_7ba6a1,SenseAds,41
82059f_81a74,BrainPlus,44
287_c5bf2-7f,JetAds,56
_a341f877caf,JetAds,25
35_484421-_4,SenseAds,30
53_8533f697c,SenseAds,58
_3afb1-3d18f,BrainPlus,59
_c500404cac9,GameAds,49
2b96c03fd4d5,SenseAds,58
d66199666c5_,SenseAds,68
50a470_6471c,BrainPlus,65
fa239dbb3-dd,BrainPlus,47
75b08_0d_68f,JetAds,18
7574_72_545d,BrainPlus,56
182741_f953b,GameAds,31
c-_301f0a7a-,JetAds,57
_c72d8c692aa,BrainPlus,61
-cd47cdaa626,SenseAds,20
4f9659_b_3a6,BrainPlus,56
7161_7862fd0,JetAds,34
1091248239b1,SenseAds,31
bf_81d5a-125,GameAds,30
2d5cf5f350_-,JetAds,38
519988f1da3-,BrainPlus,30
4b9b310f8543,SenseAds,57
5_03512049d4,GameAds,56
-52703_a273f,JetAds,59
2dbc717_090f,JetAds,33
-2c7aa85f6-9,SenseAds,29
c-46__8b-12a,GameAds,78
81ffb7c48_5_,SenseAds,61
37407-953a42,SenseAds,47
3c7224_46_6-,BrainPlus,48
28_a_c33-d94,JetAds,41
bca6f89aad66,JetAds,39
3db61f023ff2,SenseAds,57
df0f3327-381,BrainPlus,53
83526f3-2b98,SenseAds,67
_c500404cac9,GameAds,48
188f0f-8d4b2,SenseAds,44
37d706cd9dac,JetAds,65
b_8_-c1834ab,BrainPlus,28
af27-8b-3a6-,SenseAds,28
3f811-_1f183,BrainPlus,26
fd74ccf0a_66,SenseAds,46
_f35b7723546,SenseAds,38
c05f688d4b2c,SenseAds,51
a62351-136d0,GameAds,62
f7c4c96a1b-0,BrainPlus,60
7_-2__b6c317,SenseAds,53
5-c50_dc_821,BrainPlus,36
_80-79581da1,JetAds,53
d4_-fb06f79f,SenseAds,63
4b9b310f8543,GameAds,26
-da8457-72f_,JetAds,33
809-872a137_,BrainPlus,39
8ccd2a8-8698,GameAds,63
-0967799494a,GameAds,24
73346df72a8b,BrainPlus,74
82059f_81a74,GameAds,53
495a190b-f-c,BrainPlus,54
bca6f89aad66,JetAds,58
40aa30f-883f,BrainPlus,40
_44b6983485a,SenseAds,43
047-a0f2da5_,JetAds,68
63c995f-fc12,JetAds,32
0524d-f629d6,GameAds,46
d129__9bd821,JetAds,46
ac697ff23_7c,BrainPlus,69
ccda0f77093-,SenseAds,51
_-34d62ca_5c,SenseAds,61
542f52cb9d0c,SenseAds,56
b1007f33a6cc,BrainPlus,33
7_-2__b6c317,JetAds,67
519988f1da3-,SenseAds,75
6a5c44__fbff,GameAds,45
5_9c69c08_34,SenseAds,74
81ffb7c48_5_,JetAds,48
8ccd2a8-8698,GameAds,68
68b889d5_140,BrainPlus,34
82059f_81a74,GameAds,40
f8b_3cf17caf,JetAds,61
28_a_c33-d94,BrainPlus,60
_44b6983485a,SenseAds,68
3_7cbd5f7-c6,SenseAds,48
8ab7-f986b13,JetAds,26
4a08aa21f4bb,GameAds,36
524f-2dc921c,JetAds,71
a3__da__58-7,GameAds,57
978f_c_cd_01,JetAds,60
-cc-875a59c7,GameAds,40
c60360dd52_c,SenseAds,56
f5867d-526db,SenseAds,33
c5f0b9d216b0,SenseAds,37
188f0f-8d4b2,BrainPlus,67
1707--88397a,SenseAds,57
4f9659_b_3a6,JetAds,45
542f52cb9d0c,GameAds,80
50865d5492b6,BrainPlus,35
9b-7-2f-6daf,SenseAds,37
ca15f1a9_d64,GameAds,33
d4_-fb06f79f,GameAds,52
c_90ffd877db,GameAds,64
287_c5bf2-7f,BrainPlus,53
28_a_c33-d94,GameAds,51
63c995f-fc12,GameAds,62
524f-2dc921c,SenseAds,29
120_0906414f,GameAds,53
_07235f69dc7,JetAds,33
978f_c_cd_01,SenseAds,39
47a-a2-c-06b,BrainPlus,69
b1_b8137_76c,SenseAds,64
3bf42_f0f807,GameAds,64
-36a16-c5b3-,BrainPlus,51
967520c_6d75,SenseAds,26
0b31dc55b4__,BrainPlus,53
37b2d44889bb,GameAds,39
_3afb1-3d18f,SenseAds,66
4b0fa428cafa,JetAds,63
f5867d-526db,JetAds,41
2aca4_975_64,BrainPlus,78
fa239dbb3-dd,GameAds,59
101-2dd7b2_1,BrainPlus,62
1707--88397a,SenseAds,58
3f811-_1f183,SenseAds,60
b4a-6840c506,JetAds,52
f-b6c75cf346,GameAds,38
25bac391a0-5,JetAds,59
0126-d4153b0,BrainPlus,25
8933b-c_0-72,GameAds,52
4b9b310f8543,SenseAds,71
-2c7aa85f6-9,SenseAds,31
_2326b5a7a38,SenseAds,42
f8b_3cf17caf,BrainPlus,51
b53c7f8_760f,JetAds,56
495a190b-f-c,GameAds,31
3db61f023ff2,SenseAds,57
7d9d7443-21b,BrainPlus,49
8f41351a0686,SenseAds,51
7da_62c08c83,BrainPlus,67
d73459ffa7ff,GameAds,38
a7bc9f11__f_,SenseAds,58
84_f779141-d,GameAds,39
8f_761-5b-89,JetAds,49
_16712f9_-ac,GameAds,36
aaf500_fc817,GameAds,46
37d706cd9dac,JetAds,36
-cd47cdaa626,SenseAds,100
2d9975f4c583,GameAds,45
4d79dca77d_d,GameAds,53
3a-2a04203-5,GameAds,57
53_f-27b541f,GameAds,6
d4_-fb06f79f,JetAds,41
3b9__25040_-,BrainPlus,66
30007d73_7c5,GameAds,39
82059f_81a74,SenseAds,51
b90933bd_cc0,BrainPlus,23
495a190b-f-c,JetAds,64
3_7cbd5f7-c6,BrainPlus,65
047-a0f2da5_,SenseAds,52
978f_c_cd_01,JetAds,37
3bf42_f0f807,BrainPlus,64
967520c_6d75,SenseAds,56
-_f2453dd4f_,GameAds,42
ad474da4763d,GameAds,87
745-478fc_51,GameAds,53
_0b94-f94aac,JetAds,28
ac4fc5d89f96,BrainPlus,57
_c_a6_f85603,BrainPlus,50
7da_62c08c83,SenseAds,66
83526f3-2b98,JetAds,46
c727fd7cc667,GameAds,43
2fc0a9f8ad_0,BrainPlus,51
8199449-d6b5,JetAds,55
da2d13c24800,GameAds,74
233965c36f79,GameAds,26
a62351-136d0,BrainPlus,60
0126-d4153b0,BrainPlus,61
53_f-27b541f,GameAds,43
_80-79581da1,JetAds,57
3b9__25040_-,SenseAds,47
0dc298ca92ff,BrainPlus,71
83bac_7ba6a1,GameAds,49
73346df72a8b,JetAds,52
2384_68dc770,GameAds,62
495a190b-f-c,SenseAds,60
3c7224_46_6-,GameAds,45
5_a0-_39b30d,JetAds,62
01c-2ff81f_a,SenseAds,66
7d9d7443-21b,JetAds,56
_07235f69dc7,SenseAds,43
a3__da__58-7,GameAds,45
47a-a2-c-06b,SenseAds,50
3bf42_f0f807,BrainPlus,42
-36a16-c5b3-,GameAds,65
8f41351a0686,JetAds,53
36a97cf55328,BrainPlus,69
ad474da4763d,BrainPlus,42
_0b94-f94aac,SenseAds,57
f3_8d88a2d5c,BrainPlus,53
7884b1712165,JetAds,43
86_17d89b08-,SenseAds,38
b1f1a8df_c_7,JetAds,44
--6968ca-40d,GameAds,39
2479d-a-1--b,JetAds,44
30b98b36_369,JetAds,61
72129a-69_95,SenseAds,69
c-5976-58f-7,GameAds,66
2fc0a9f8ad_0,SenseAds,59
-c5--74dd9_f,JetAds,23
9416fac1b3a0,GameAds,51
7574_72_545d,JetAds,71
3df42900af2b,BrainPlus,38
22_2b-f5705f,GameAds,51
a8756ad312-0,GameAds,57
a9754fd37343,SenseAds,51
d4_-fb06f79f,GameAds,56
3b9__25040_-,JetAds,56
_2326b5a7a38,JetAds,77
37407-953a42,GameAds,34
f8b_3cf17caf,SenseAds,55
3db61f023ff2,JetAds,38
-36a16-c5b3-,GameAds,49
8f41351a0686,JetAds,64
36a97cf55328,BrainPlus,61
-_f2453dd4f_,JetAds,77
745-478fc_51,BrainPlus,49
ac4fc5d89f96,SenseAds,46
_c_a6_f85603,GameAds,59
8b5-8_f_2b__,GameAds,51
7744_f6320cb,GameAds,33
7884b1712165,GameAds,56
_49_bd20_c46,GameAds,61
9-64-32-4d58,GameAds,71
4932a051-6_2,BrainPlus,23
9d617_a0_5-3,SenseAds,44
-c5--74dd9_f,BrainPlus,50
68a_239a73b8,BrainPlus,64
_16712f9_-ac,GameAds,58
25d52a156bcc,JetAds,29
ccda0f77093-,BrainPlus,53
5_59a0c29882,JetAds,47
1091248239b1,JetAds,66
f0_997f2608d,BrainPlus,41
50865d5492b6,SenseAds,48
0dc298ca92ff,SenseAds,54
_2326b5a7a38,JetAds,65
63c995f-fc12,SenseAds,59
a3__da__58-7,BrainPlus,48
47a-a2-c-06b,SenseAds,63
3bf42_f0f807,GameAds,29
967520c_6d75,GameAds,44
a04bf16b5b99,BrainPlus,35
7744_f6320cb,GameAds,65
b-27219c4d_3,BrainPlus,33
3b72a4_75354,GameAds,60
971510d78af8,JetAds,57
5db24-838_71,JetAds,60
61226c7ff86b,GameAds,33
6-c-6-cfc28f,JetAds,78
0085f_-89c66,SenseAds,80
0f3974_9_42d,JetAds,26
45353-5114-a,JetAds,39
